track,date,url
LA,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LA&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
MVR,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=MVR&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
OP,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=OP&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
RP,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=RP&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
RIL,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=RIL&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
HOU,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=HOU&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
SA,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=SA&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
SUN,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=SUN&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
TAM,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TAM&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
TP,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TP&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
EVD,04/20/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=EVD&CTRY=USA&DT=04/20/2022&DAY=D&STYLE=EQB
CT,04/20/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CT&CTRY=USA&DT=04/20/2022&DAY=D&STYLE=EQB
IND,04/20/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=IND&CTRY=USA&DT=04/20/2022&DAY=D&STYLE=EQB
KEE,04/20/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=KEE&CTRY=USA&DT=04/20/2022&DAY=D&STYLE=EQB
PRX,04/20/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=PRX&CTRY=USA&DT=04/20/2022&DAY=D&STYLE=EQB
PEN,04/20/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=PEN&CTRY=USA&DT=04/20/2022&DAY=D&STYLE=EQB
TAM,04/20/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TAM&CTRY=USA&DT=04/20/2022&DAY=D&STYLE=EQB
TUP,04/20/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TUP&CTRY=USA&DT=04/20/2022&DAY=D&STYLE=EQB
WRD,04/20/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=WRD&CTRY=USA&DT=04/20/2022&DAY=D&STYLE=EQB
AQU,04/21/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=AQU&CTRY=USA&DT=04/21/2022&DAY=D&STYLE=EQB
CMR,04/21/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CMR&CTRY=PR&DT=04/21/2022&DAY=D&STYLE=EQB
EVD,04/21/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=EVD&CTRY=USA&DT=04/21/2022&DAY=D&STYLE=EQB
GP,04/21/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GP&CTRY=USA&DT=04/21/2022&DAY=D&STYLE=EQB
CT,04/21/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CT&CTRY=USA&DT=04/21/2022&DAY=D&STYLE=EQB
KEE,04/21/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=KEE&CTRY=USA&DT=04/21/2022&DAY=D&STYLE=EQB
LRL,04/21/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LRL&CTRY=USA&DT=04/21/2022&DAY=D&STYLE=EQB
PEN,04/21/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=PEN&CTRY=USA&DT=04/21/2022&DAY=D&STYLE=EQB
RP,04/21/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=RP&CTRY=USA&DT=04/21/2022&DAY=D&STYLE=EQB
TUP,04/21/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TUP&CTRY=USA&DT=04/21/2022&DAY=D&STYLE=EQB
AQU,04/22/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=AQU&CTRY=USA&DT=04/22/2022&DAY=D&STYLE=EQB
